country,Infant_Mortality_rate,Life_expectancy_at_birth,Birth_Rate,Death_Rate
Nicaragua,16.5,74.200000000000003,17.100000000000001,5.2000000000000002
Niger,67.700000000000003,59.299999999999997,47.5,10.199999999999999
Nigeria,59.799999999999997,60.399999999999999,34.600000000000001,9.0999999999999996
Northern-Mariana-Islands,11.5,76.099999999999994,15.1,5.2999999999999998
Norway,2.5,82.099999999999994,12.199999999999999,8.0999999999999996
Oman,11.699999999999999,76.299999999999997,23.100000000000001,3.2999999999999998
Pakistan,52.299999999999997,69.200000000000003,27.399999999999999,6.2000000000000002
Palau,9.8000000000000007,74.099999999999994,11.300000000000001,8.3000000000000007
Panama,9.0999999999999996,79.200000000000003,17.100000000000001,5.0999999999999996
Papua-New-Guinea,33.200000000000003,67.799999999999997,22.5,6.7000000000000002
Paraguay,16.899999999999999,77.900000000000006,16.600000000000001,4.9000000000000004
Peru,16.699999999999999,74.700000000000003,17,6.2000000000000002
Philippines,20,70,22.899999999999999,6
Poland,4.2999999999999998,78.299999999999997,8.9000000000000004,10.6
Portugal,2.6000000000000001,81.099999999999994,8.0999999999999996,10.800000000000001
Puerto-Rico,6,81.299999999999997,8,9.5
Qatar,5.7000000000000002,79.400000000000006,9.3000000000000007,1.6000000000000001
Romania,8.6999999999999993,76,8.5,12
Russia,6.5,71.900000000000006,10,13.4
Rwanda,28,65.099999999999994,27.899999999999999,6.0999999999999996
Saint-Barthelemy,5.5999999999999996,80.200000000000003,9.3000000000000007,8.6999999999999993
Saint-Helena-Ascension-and-Tristan-da-Cunha,12,80,9.4000000000000004,8.3000000000000007
Saint-Kitts-and-Nevis,7.7999999999999998,76.599999999999994,12.6,7.2999999999999998
Saint-Lucia,10.1,78.5,12.5,8.0999999999999996
Saint-Martin,5.5999999999999996,80.200000000000003,14.300000000000001,4.5999999999999996
Saint-Pierre-and-Miquelon,6.0999999999999996,81,6.7000000000000002,10.9
Saint-Vincent-and-the-Grenadines,11,76.200000000000003,12.6,7.5999999999999996
Samoa,17,74.700000000000003,19.600000000000001,5.4000000000000004
San-Marino,4.2000000000000002,83.5,8.8000000000000007,9
Sao-Tome-and-Principe,41.700000000000003,66.299999999999997,29.699999999999999,6.2999999999999998
Saudi-Arabia,11.300000000000001,76.200000000000003,14.699999999999999,3.3999999999999999
Senegal,45.700000000000003,63.200000000000003,31.800000000000001,7.5999999999999996
